city,category,count
bangalore,Embedded Hardware and Software ,2
bangalore,Business Productivity ,2
bangalore,Dry Cleaning ,2
bangalore,Real Estate Technology ,2
bangalore,BPO Services ,2
bangalore,Business Information Systems ,2
bangalore,Defense ,2
bangalore,Leisure ,2
bangalore,Dubai ,2
bangalore,High Schools ,2
bangalore,China ,2
bangalore,Online Education  ,2
bangalore,Financial Technology ,2
bangalore,Content Marketing ,2
bangalore,Health and Insurance ,2
bangalore,Outdoor Advertising ,2
bangalore,Reading Apps ,2
bangalore,Communications Software ,2
bangalore,Gift Card ,2
bangalore,Data Integration ,2
bangalore,Foodtech ,2
bangalore,Electronic Health Records ,2
bangalore,Billing ,2
bangalore,Domains ,2
bangalore,Media ,2
bangalore,Consumer Behavior ,2
bangalore,Windows Phone 7 ,2
bangalore,Human Resource Automation ,2
bangalore,Connected Cars ,2
bangalore,Brain Health ,2
bangalore,Online Scheduling ,3
bangalore,Aerospace ,3
bangalore,Public Safety ,3
bangalore,Augmented Reality ,3
bangalore,Everyone With A Smartphone ,3
bangalore,Music Services ,3
bangalore,Pet Care ,3
bangalore,Business Services ,3
bangalore,Diagnostics ,3
bangalore,Specialty Retail ,3
bangalore,Social Fundraising ,3
bangalore,Marketing Automation ,3
bangalore,Consumer Goods ,3
bangalore,Personal Data ,3
bangalore,South Africa ,3
bangalore,Graphic Design ,3
bangalore,Governments ,3
bangalore,3D Printing ,3
bangalore,Film Distribution ,3
bangalore,Collaborative Consumption ,3
bangalore,Corporate IT ,3
bangalore,Service Providers ,3
bangalore,Corporate Training ,3
bangalore,Natural Language Processing ,3
bangalore,Venue And Events ,3
bangalore,Shipping ,3
bangalore,Smart Grid ,3
bangalore,Wearables ,3
bangalore,New Product Development ,3
bangalore,Gift Registries ,3
bangalore,Comparison Shopping ,3
bangalore,Electrical Distribution ,3
bangalore,Tracking ,3
bangalore,Singapore ,3
bangalore,Local Search ,3
bangalore,Nepal ,3
bangalore,Sales Automation ,3
bangalore,Technical Continuing Education ,3
bangalore,Ticketing ,3
bangalore,Gps ,3
bangalore,Local Discovery ,3
bangalore,E Learn ,3
bangalore,Toys ,3
bangalore,Telephony ,3
bangalore,Cooking ,3
bangalore,Tourism ,3
bangalore,Water ,3
bangalore,Active Lifestyle ,3
bangalore,Laundry  ,3
bangalore,Small Companies ,3
bangalore,Hardware ,3
bangalore,Mobile Coupons ,3
bangalore,Furniture ,3
bangalore,User Testing ,3
bangalore,Organic ,3
bangalore,Trading ,3
bangalore,Interest Graph ,3
